Phase,Algorithm,Accuracy,Macro_F1
Phase 1 (Codons Only),SVM RBF,37.15297450424929,24.830183634707126
Phase 1 (Codons Only),SVM Linear,37.76203966005666,26.290797940521394
Phase 1 (Codons Only),Logistic Regression,36.14730878186968,25.621480824845122
Phase 1 (Codons Only),KNN (k=3),47.152974504249286,28.268752412408038
Phase 1 (Codons Only),KNN (k=5),45.198300283286116,27.822067751877267
Phase 1 (Codons Only),KNN (k=7),44.390934844192635,27.97349028703615
Phase 1 (Codons Only),Random Forest,38.05949008498584,26.03517806116889
Phase 1 (Codons Only),AdaBoost,36.40226628895184,21.503810159373415
Phase 1 (Codons Only),Decision Tree,33.668555240793204,19.412805041630886
Phase 1 (Codons Only),Multinomial NB,51.288951841359776,28.703356426933528
Phase 1 (Codons Only),Naive Bayes,64.40509915014164,25.493947251057435
Phase 2 (Fusion Baseline),SVM RBF,62.436260623229465,44.563778974637025
Phase 2 (Fusion Baseline),SVM Linear,62.25212464589235,40.42495761951791
Phase 2 (Fusion Baseline),Logistic Regression,60.240793201133144,43.12713023790853
Phase 2 (Fusion Baseline),KNN (k=3),63.668555240793204,40.12437718730957
Phase 2 (Fusion Baseline),KNN (k=5),64.12181303116147,41.71193984900351
Phase 2 (Fusion Baseline),KNN (k=7),64.51841359773371,42.29325365065625
Phase 2 (Fusion Baseline),Random Forest,67.37960339943344,43.20791687838105
Phase 2 (Fusion Baseline),AdaBoost,41.331444759206796,27.459548479522276
Phase 2 (Fusion Baseline),Decision Tree,41.359773371104815,22.522409133240256
Phase 2 (Fusion Baseline),Multinomial NB,60.67988668555241,38.96287596069882
Phase 2 (Fusion Baseline),Naive Bayes,71.30311614730878,31.129982620734065
Phase 2A (GA),SVM RBF,65.12747875354108,45.14070489932877
Phase 2A (GA),SVM Linear,62.492917847025495,40.11179587372551
Phase 2A (GA),Logistic Regression,65.48158640226629,45.738606979568914
Phase 2A (GA),KNN (k=3),69.6742209631728,42.171857590434165
Phase 2A (GA),KNN (k=5),70.75070821529745,42.96686629062344
Phase 2A (GA),KNN (k=7),71.8555240793201,44.33160487981868
Phase 2A (GA),Random Forest,75.29745042492918,44.73474657174007
Phase 2A (GA),AdaBoost,57.422096317280456,31.65475829006456
Phase 2A (GA),Decision Tree,41.04815864022663,20.96310544064165
Phase 2A (GA),Multinomial NB,66.8271954674221,41.031152221956845
Phase 2A (GA),Naive Bayes,72.45042492917847,31.052207198464277
Phase 2B (PSO),SVM RBF,64.43342776203966,43.72816609627589
Phase 2B (PSO),SVM Linear,64.66005665722379,40.609276535361545
Phase 2B (PSO),Logistic Regression,63.78186968838527,43.267003973984366
Phase 2B (PSO),KNN (k=3),71.28895184135978,42.641270240547016
Phase 2B (PSO),KNN (k=5),72.3371104815864,43.55684315370373
Phase 2B (PSO),KNN (k=7),72.57790368271955,43.561831914575286
Phase 2B (PSO),Random Forest,72.71954674220963,43.72866712067889
Phase 2B (PSO),AdaBoost,56.713881019830026,32.609848268475446
Phase 2B (PSO),Decision Tree,45.226628895184135,21.277477136538064
Phase 2B (PSO),Multinomial NB,65.35410764872522,36.799755669045354
Phase 2B (PSO),Naive Bayes,76.60056657223797,27.323773780487098
Phase 2C (ACO),SVM RBF,62.74787535410765,44.4614664273807
Phase 2C (ACO),SVM Linear,62.96033994334278,40.5109195944457
Phase 2C (ACO),Logistic Regression,60.14164305949008,43.056057694390255
Phase 2C (ACO),KNN (k=3),63.25779036827196,39.95022635160243
Phase 2C (ACO),KNN (k=5),63.69688385269122,41.121312411665905
Phase 2C (ACO),KNN (k=7),63.96600566572238,42.213389650327784
Phase 2C (ACO),Random Forest,69.83002832861189,43.34575920613224
Phase 2C (ACO),AdaBoost,38.88101983002833,26.95156469736063
Phase 2C (ACO),Decision Tree,40.28328611898017,22.021009108084876
Phase 2C (ACO),Multinomial NB,60.538243626062325,38.58675361020172
Phase 2C (ACO),Naive Bayes,71.23229461756374,30.184711835447676
Phase 2D (ABC),SVM RBF,57.91784702549575,41.92793605458487
Phase 2D (ABC),SVM Linear,58.696883852691215,38.061489774553685
Phase 2D (ABC),Logistic Regression,54.20679886685552,40.41242978010479
Phase 2D (ABC),KNN (k=3),52.03966005665722,34.338946849619354
Phase 2D (ABC),KNN (k=5),50.19830028328612,33.77704975297068
Phase 2D (ABC),KNN (k=7),49.787535410764875,34.88287795252005
Phase 2D (ABC),Random Forest,59.24929178470255,38.23669054809602
Phase 2D (ABC),AdaBoost,37.69121813031162,27.919849734716063
Phase 2D (ABC),Decision Tree,38.59773371104816,20.26404359228552
Phase 2D (ABC),Multinomial NB,56.96883852691218,35.1685327984297
Phase 2D (ABC),Naive Bayes,76.61473087818696,33.171921494421206
Phase 2E (GWO),SVM RBF,60.28328611898017,41.892978746588454
Phase 2E (GWO),SVM Linear,57.97450424929178,37.123699175024065
Phase 2E (GWO),Logistic Regression,55.89235127478753,40.2370565880825
Phase 2E (GWO),KNN (k=3),59.801699716713884,35.259799033725145
Phase 2E (GWO),KNN (k=5),60.18413597733711,35.54993470090308
Phase 2E (GWO),KNN (k=7),60.3257790368272,36.76831541784259
Phase 2E (GWO),Random Forest,58.03116147308782,39.62394053333853
Phase 2E (GWO),AdaBoost,42.98866855524079,27.874949778998324
Phase 2E (GWO),Decision Tree,35.42492917847026,20.443782700616325
Phase 2E (GWO),Multinomial NB,57.32294617563739,35.5412257012992
Phase 2E (GWO),Naive Bayes,67.37960339943344,31.702329204912928
Phase 2F (WOA),SVM RBF,64.3201133144476,44.07290752312699
Phase 2F (WOA),SVM Linear,62.167138810198296,39.742236686950584
Phase 2F (WOA),Logistic Regression,63.569405099150146,43.362737125201974
Phase 2F (WOA),KNN (k=3),68.08781869688386,39.808906769926466
Phase 2F (WOA),KNN (k=5),69.60339943342775,41.711386124187534
Phase 2F (WOA),KNN (k=7),70.09915014164307,41.7750639227921
Phase 2F (WOA),Random Forest,73.89518413597733,40.379269433800964
Phase 2F (WOA),AdaBoost,57.875354107648725,33.700768912379516
Phase 2F (WOA),Decision Tree,47.73371104815864,24.406674413934436
Phase 2F (WOA),Multinomial NB,67.59206798866856,35.049478174845994
Phase 2F (WOA),Naive Bayes,76.57223796033993,28.025154129364584
