Phase,Algorithm,Accuracy,Macro_F1
Phase 1 (Codons Only),SVM RBF,60.47081902893575,60.47079261816024
Phase 1 (Codons Only),SVM Linear,58.42733366029099,58.38886044019953
Phase 1 (Codons Only),Logistic Regression,58.54176884093509,58.49143965373303
Phase 1 (Codons Only),KNN (k=3),62.105607323851565,61.69016360134789
Phase 1 (Codons Only),KNN (k=5),62.18734673859735,61.9704122473121
Phase 1 (Codons Only),KNN (k=7),61.893084845512504,61.73914851808476
Phase 1 (Codons Only),Random Forest,61.23916952754618,61.23782695996378
Phase 1 (Codons Only),AdaBoost,58.852378616969105,58.818286592886615
Phase 1 (Codons Only),Decision Tree,56.77619748242603,56.710112116068466
Phase 1 (Codons Only),Multinomial NB,67.72927905836195,66.86305940838815
Phase 1 (Codons Only),Naive Bayes,68.10528036619257,64.01639397398135
Phase 2 (Fusion Baseline),SVM RBF,72.077815922838,71.74792043258809
Phase 2 (Fusion Baseline),SVM Linear,71.34216119012588,70.89044194505829
Phase 2 (Fusion Baseline),Logistic Regression,70.57381069151545,70.34868690350518
Phase 2 (Fusion Baseline),KNN (k=3),73.72895210070295,72.81768536042172
Phase 2 (Fusion Baseline),KNN (k=5),74.84060814124571,73.98713319485134
Phase 2 (Fusion Baseline),KNN (k=7),74.75886872649991,73.90740759977218
Phase 2 (Fusion Baseline),Random Forest,76.52444008500899,75.10424234014361
Phase 2 (Fusion Baseline),AdaBoost,63.49517737453,63.45766007808658
Phase 2 (Fusion Baseline),Decision Tree,61.79499754781755,61.736094900630455
Phase 2 (Fusion Baseline),Multinomial NB,72.29033840117705,71.38851159462727
Phase 2 (Fusion Baseline),Naive Bayes,71.1786823606343,67.37767275007567
Phase 2A (GA),SVM RBF,73.61451692005885,73.04518850494526
Phase 2A (GA),SVM Linear,70.73728952100703,70.19246055944177
Phase 2A (GA),Logistic Regression,72.79712277260096,72.19931237688826
Phase 2A (GA),KNN (k=3),73.67990845185548,71.90620425088117
Phase 2A (GA),KNN (k=5),74.6117377799575,72.65064606245436
Phase 2A (GA),KNN (k=7),75.2329573320255,73.23829314389249
Phase 2A (GA),Random Forest,77.32548634951773,75.18641528403381
Phase 2A (GA),AdaBoost,67.22249468693803,65.6216239761926
Phase 2A (GA),Decision Tree,60.732385156122284,60.564599400813044
Phase 2A (GA),Multinomial NB,74.08860552558444,72.24632408055747
Phase 2A (GA),Naive Bayes,70.09972208598987,65.57346237856815
