Algorithm,Accuracy,Macro F1
SVM RBF,65.12747875354108,45.14070489932877
SVM Linear,62.492917847025495,40.11179587372551
Logistic Regression,65.48158640226629,45.738606979568914
KNN (k=3),69.6742209631728,42.171857590434165
KNN (k=5),70.75070821529745,42.96686629062344
KNN (k=7),71.8555240793201,44.33160487981868
Random Forest,75.29745042492918,44.73474657174007
AdaBoost,57.422096317280456,31.65475829006456
Decision Tree,41.04815864022663,20.96310544064165
Multinomial NB,66.8271954674221,41.031152221956845
Naive Bayes,72.45042492917847,31.052207198464277
