Algorithm,Baseline_Acc,Phase2_Opt_Acc,Acc_Change,Baseline_F1,Phase2_Opt_F1,F1_Change,Stat_Significant
Random Forest,70.89%,72.44%,+1.55%,53.55%,57.66%,+4.11%,NO (p >= 0.05)
SVM Linear,82.55%,80.08%,-2.47%,79.71%,75.07%,-4.65%,NO (p >= 0.05)
SVM RBF,84.41%,82.66%,-1.75%,81.92%,78.03%,-3.89%,NO (p >= 0.05)
Logistic Regression,81.73%,77.19%,-4.54%,79.03%,72.37%,-6.66%,YES (p < 0.05)
AdaBoost,61.41%,63.37%,+1.96%,49.44%,51.12%,+1.67%,NO (p >= 0.05)
Naive Bayes,42.61%,68.94%,+26.33%,42.20%,59.78%,+17.58%,YES (p < 0.05)
KNN (k=7),75.12%,78.63%,+3.51%,65.56%,70.19%,+4.62%,YES (p < 0.05)
KNN (k=5),76.57%,78.22%,+1.65%,68.97%,70.35%,+1.38%,NO (p >= 0.05)
KNN (k=3),77.39%,78.53%,+1.13%,69.75%,70.88%,+1.13%,NO (p >= 0.05)
Decision Tree,53.05%,53.36%,+0.31%,45.86%,46.74%,+0.88%,NO (p >= 0.05)
Multinomial NB,75.44%,71.31%,-4.13%,66.32%,58.41%,-7.91%,YES (p < 0.05)
