Algorithm,Baseline_Acc,Phase2_Opt_Acc,Acc_Change,Baseline_F1,Phase2_Opt_F1,Stat_Significant
Random Forest,68.42%,73.37%,+4.95%,53.00%,58.31%,YES (p < 0.05)
Gradient Boosting,76.88%,75.85%,-1.03%,66.77%,64.59%,NO (p >= 0.05)
SVM Linear,82.55%,82.45%,-0.10%,79.71%,77.86%,NO (p >= 0.05)
SVM RBF,84.41%,82.45%,-1.96%,81.92%,77.86%,YES (p < 0.05)
Logistic Regression,81.73%,77.19%,-4.54%,79.03%,72.81%,YES (p < 0.05)
AdaBoost,61.41%,61.09%,-0.32%,49.44%,49.36%,NO (p >= 0.05)
Naive Bayes,42.61%,70.90%,+28.29%,42.20%,63.42%,YES (p < 0.05)
KNN (k=7),75.12%,77.70%,+2.58%,65.56%,67.65%,NO (p >= 0.05)
KNN (k=5),76.57%,77.70%,+1.13%,68.97%,68.83%,NO (p >= 0.05)
KNN (k=3),77.39%,78.94%,+1.55%,69.75%,71.45%,NO (p >= 0.05)
Decision Tree,53.05%,54.90%,+1.85%,45.86%,47.28%,NO (p >= 0.05)
Multinomial NB,75.44%,72.13%,-3.31%,66.32%,61.25%,NO (p >= 0.05)
